"职业","稀有度","卡名","类型","标签","费用","效果"
"契约师","优秀","暗影突袭","攻击","献祭","2","造成14点穿刺伤害。若你本回合献祭过，回复6点生命。"
"契约师","优秀","无尽炼狱","技能","审判","1","抽2张牌。下回合少抽1张牌。若你有6点以上审判，改为抽3张牌。"
"契约师","优秀","引魂术","技能","灵魂 审判","1","获得1点审判。将弃牌堆中的1张随机牌置入手牌。"
"契约师","优秀","死神之手","技能","审判","2","选择1项：获得2点能量；抽2张牌；获得3点审判。"
"契约师","优秀","通灵术","技能","灵魂","2","你打出的下一张咒术牌额外生效一次。若目标有恐惧，再抽1张牌。"
"契约师","优秀","痛苦分担","技能","献祭","1","本回合每当你失去生命时，获得等量格挡。"
"契约师","优秀","能量吸收","能力","献祭 回复","1","每回合第一次在自己回合失去生命时，回复1点生命。"
"契约师","优秀","能量同化","能力","献祭 回复","2","每回合第一次在自己回合失去生命时，回复2点生命并获得2点格挡。"
"契约师","优秀","冥界花","能力","献祭","1","每当你献祭时，对所有敌人造成3点伤害。"
"契约师","优秀","审判回路","能力","审判","1","回合结束时，若你有5点以上审判，获得5点格挡并对所有敌人施加1层恐惧。"
"契约师","优秀","恐惧回响","能力","恐惧","1","每当你攻击有恐惧的敌人时，额外造成2点伤害。"
"契约师","优秀","灵魂摆渡人","能力","灵魂","1","每回合第一次有牌被消耗时，抽1张牌。"
"契约师","优秀","血契研究","技能","献祭","1","失去2点生命。抽2张牌。若这是你本回合第一次献祭，获得1点能量。"
"契约师","优秀","断命书","攻击","审判","2","造成12点伤害。若你有5点以上审判，改为18点。"
"契约师","优秀","黑雾巡礼","攻击","恐惧","2","对所有敌人造成6点伤害并施加2层恐惧。"
"契约师","优秀","魂灯引路","技能","灵魂","1","选择弃牌堆中的1张牌。若其具有消耗，置入手牌；否则抽1张牌。"
"契约师","优秀","献祭仪式","技能","献祭 审判","1","失去3点生命。获得2点审判和8点格挡。"
"契约师","优秀","猩红馈赠","技能","献祭 回复","1","失去2点生命。选择1项：获得1点能量；抽2张牌；回复5点生命。"
"契约师","优秀","灵魂冻结","技能","恐惧","2","对所有敌人施加4层恐惧和2层虚弱。消耗。"
"契约师","稀有","危险契约","技能","献祭","2","失去一半当前生命，向上取整。本回合你造成的伤害翻倍，并回复造成伤害的25%生命。"
"契约师","稀有","生死逆转","技能","献祭 回复","2","对调你的当前生命和已损失生命。获得2点审判。消耗。"
"契约师","稀有","复仇怨魂","攻击","献祭","2","造成等同于你本场战斗已失去生命值的伤害，最多60点。"
"契约师","稀有","魂飞魄散","攻击","审判","3","造成等同于你审判值4倍的伤害。失去所有审判。"
"契约师","稀有","灵魂收割","攻击","灵魂","2","造成16点穿刺伤害。若目标生命低于一半，重复一次。"
"契约师","稀有","血色之审判","技能","审判 回复","2","获得5点审判。每有3点审判，回复2点生命并对所有敌人造成2点伤害。"
"契约师","稀有","恐惧深渊","技能","恐惧","2","对所有敌人施加5层恐惧。已有恐惧的敌人获得1层虚弱和1层易伤。"
"契约师","稀有","命运操控","技能","契约","1","接下来2回合中，你每回合打出的第一张牌费用变为0并额外生效一次。消耗。"
"契约师","稀有","包罗万象","技能","契约","2","将5张随机契约师牌洗入抽牌堆。抽2张牌。"
"契约师","稀有","孤注一掷","技能","契约","1","发现1张牌并将其2张复制洗入抽牌堆。本回合其费用-1。"
"契约师","稀有","反冲","技能","恐惧","2","获得12点格挡。对所有敌人施加4层恐惧。下回合敌人力量-2。"
"契约师","稀有","共鸣","技能","灵魂","2","复制你本回合打出的上一张攻击牌或技能牌并立即打出。若它具有消耗，将其1张复制置入弃牌堆。"
"契约师","稀有","灵魂提取","技能","灵魂","2","发现1张其他职业牌加入手牌。本场战斗其费用-1。消耗。"
"契约师","稀有","摘取灵魂","攻击","灵魂","2","造成12点伤害。若这张牌击杀目标，永久获得2点生命上限并获得1点审判。"
"契约师","稀有","灵魂锁链","能力","恐惧","2","有恐惧的敌人对你造成的伤害减少25%。每当你献祭时，对所有敌人施加1层恐惧。"
"契约师","稀有","阴界契书","能力","审判","2","每回合第一次获得审判时，获得等量格挡。"
"契约师","稀有","冥王裁决","攻击","审判","3","造成20点伤害。若你有8点以上审判，再对所有敌人造成12点伤害。"
"契约师","稀有","血债回响","攻击","献祭","2","造成10点伤害。你本回合每献祭过1次，额外重复一次。"
"契约师","稀有","绝望蔓延","技能","恐惧","2","对所有敌人施加5层恐惧。你本回合对有恐惧的敌人造成的伤害+50%。"
"契约师","稀有","契约轮回","技能","灵魂","2","从消耗堆选择至多3张牌洗入抽牌堆。抽1张牌。"
"契约师","稀有","冥河摆渡","攻击","灵魂","3","造成18点伤害。将1张消耗堆中的牌置入手牌。若其具有消耗，本回合费用变为0。"
"契约师","稀有","恐惧盛宴","技能","恐惧 回复","2","移除所有敌人至多6层恐惧。回复等量生命，并对随机敌人造成等量伤害。"
"契约师","稀有","禁忌研究","技能","审判 献祭","1","失去3点生命。抽3张牌。获得2点审判。"
"契约师","稀有","黄泉之门","能力","灵魂","2","每回合第一次有牌被消耗时，回合结束将其1张临时复制置入手牌。"
"契约师","稀有","暗夜审判","攻击","审判 恐惧","2","造成14点伤害。施加等同于你审判值一半的恐惧，最多6层。"
"契约师","稀有","虚无之口","能力","审判","2","每当你失去审判时，对所有敌人造成等量伤害。"
"契约师","稀有","诅咒馈赠","技能","契约","2","发现2张具有消耗的牌。它们本回合费用-1。"
"契约师","稀有","死线预兆","攻击","恐惧","2","造成8点伤害。若目标有8层以上恐惧，改为造成24点伤害。"
"契约师","先古","最后的希望","技能","契约","3","额外进行一个回合。你的生命变为1。消耗。"
"契约师","先古","终焉契约","技能","审判 献祭","3","失去一半最大生命值，向上取整。获得10点审判。本回合你的所有牌费用变为0。每当你失去审判时，对所有敌人造成等量伤害。消耗。"
